scenario,workflow_yaml,agents_used,num_steps,complexity,is_valid,error_message
"""List the top 10 travel destinations for 2024, then look up each destination's official tourism website to gather information on attractions and accommodations.""","assets:
  travel_destinations_search:
    agent: brave_search
    description: ""Search for the top 10 travel destinations for 2024""
    type: table

  destination_websites:
    type: for_each
    description: ""Fetch each destination's official tourism website to gather information on attractions and accommodations""
    inputs: [travel_destinations_search]
    row_output: website_content
    row_chain:
      assets:
        website_content:
          agent: url
          description: ""Visit the URL from this search result row""
          type: text
          inputs: [__row__]

  final_travel_info:
    agent: answerer
    description: ""Synthesize all fetched content about attractions and accommodations for each destination""
    type: table
    inputs: [destination_websites]","['answerer', 'brave_search']",3,search_then_fetch,True,
"""Search for the top 10 electric vehicle manufacturers, then visit each company's website to gather information on their latest models and specifications.""","assets:
  ev_manufacturer_search:
    agent: brave_search
    description: ""Search for the top 10 electric vehicle manufacturers""
    type: table

  ev_manufacturer_websites:
    type: for_each
    description: ""Visit each manufacturer's website to gather information on their latest models and specifications""
    inputs: [ev_manufacturer_search]
    row_output: website_content
    row_chain:
      assets:
        website_content:
          agent: url
          description: ""Fetch the content from the manufacturer's website""
          type: text
          inputs: [__row__]

  ev_manufacturer_info:
    agent: answerer
    description: ""Synthesize information from all manufacturer websites regarding their latest models and specifications""
    type: table
    inputs: [ev_manufacturer_websites]","['answerer', 'brave_search']",3,search_then_fetch,True,
"""List the top 10 universities for computer science, then visit each university's website to find their faculty members' research interests.""","assets:
  university_search:
    agent: brave_search
    description: ""Search for the top 10 universities for computer science""
    type: table

  university_websites:
    type: for_each
    description: ""Fetch each university's website to find faculty members' research interests""
    inputs: [university_search]
    row_output: website_content
    row_chain:
      assets:
        website_content:
          agent: url
          description: ""Visit the URL from this search result row""
          type: text
          inputs: [__row__]

  faculty_research_interests:
    agent: answerer
    description: ""Synthesize faculty members' research interests from all university websites""
    type: table
    inputs: [university_websites]","['answerer', 'brave_search']",3,search_then_fetch,True,
"""Identify the top 10 renewable energy startups, then check each company's website to gather information on their latest projects and funding rounds.""","assets:
  renewable_energy_startups_search:
    agent: brave_search
    description: ""Search for the top 10 renewable energy startups""
    type: table

  startup_websites:
    type: for_each
    description: ""Fetch each startup's website to gather information on their latest projects and funding rounds""
    inputs: [renewable_energy_startups_search]
    row_output: website_content
    row_chain:
      assets:
        website_content:
          agent: url
          description: ""Visit the URL from this search result row""
          type: text
          inputs: [__row__]

  final_summary:
    agent: answerer
    description: ""Synthesize information from all fetched startup websites""
    type: table
    inputs: [startup_websites]","['answerer', 'brave_search']",3,search_then_fetch,True,
"""Search for the top 10 renewable energy startups in 2023, then visit each startup's website to gather information on their latest projects and funding rounds.""","assets:
  renewable_energy_startup_search:
    agent: brave_search
    description: ""Search for the top 10 renewable energy startups in 2023""
    type: table

  startup_webpages:
    type: for_each
    description: ""Visit each startup's website to gather information on their latest projects and funding rounds""
    inputs: [renewable_energy_startup_search]
    row_output: webpage_content
    row_chain:
      assets:
        webpage_content:
          agent: url
          description: ""Fetch the content of the startup's website from the search result""
          type: text
          inputs: [__row__]

  final_summary:
    agent: answerer
    description: ""Synthesize information from all startup webpages on their latest projects and funding rounds""
    type: table
    inputs: [startup_webpages]","['answerer', 'brave_search']",3,search_then_fetch,True,
"""Search for the top 10 renewable energy startups, then visit each startup's website to gather information about their latest projects and funding rounds.""","assets:
  renewable_energy_startups_search:
    agent: brave_search
    description: ""Search for the top 10 renewable energy startups""
    type: table

  startup_websites:
    type: for_each
    description: ""Visit each startup's website to gather information about their latest projects and funding rounds""
    inputs: [renewable_energy_startups_search]
    row_output: website_content
    row_chain:
      assets:
        website_content:
          agent: url
          description: ""Fetch the content from the startup's website URL""
          type: text
          inputs: [__row__]

  final_startup_information:
    agent: answerer
    description: ""Synthesize information from all fetched startup websites""
    type: table
    inputs: [startup_websites]","['answerer', 'brave_search']",3,search_then_fetch,True,
"""List the top 10 renewable energy startups, then for each startup, fetch their official website to gather information on their latest projects and funding rounds.""","assets:
  renewable_energy_startup_search:
    agent: brave_search
    description: ""Search for the top renewable energy startups""
    type: table

  startup_homepages:
    type: for_each
    description: ""Fetch each startup's official website to gather information""
    inputs: [renewable_energy_startup_search]
    row_output: homepage_content
    row_chain:
      assets:
        homepage_content:
          agent: url
          description: ""Visit the URL from this search result row""
          type: text
          inputs: [__row__]

  final_summary:
    agent: answerer
    description: ""Synthesize the information from all fetched startup homepages""
    type: table
    inputs: [startup_homepages]","['answerer', 'brave_search']",3,search_then_fetch,True,
"""Search for the top 10 sustainable fashion brands, then visit each brand's website to gather information on their eco-friendly practices and latest collections.""","assets:
  sustainable_fashion_search:
    agent: brave_search
    description: ""Search for the top 10 sustainable fashion brands""
    type: table

  brand_websites:
    type: for_each
    description: ""Visit each brand's website to gather information on their eco-friendly practices and latest collections""
    inputs: [sustainable_fashion_search]
    row_output: brand_info
    row_chain:
      assets:
        brand_info:
          agent: url
          description: ""Fetch the content from each sustainable fashion brand's website""
          type: text
          inputs: [__row__]

  eco_friendly_summary:
    agent: answerer
    description: ""Synthesize information about eco-friendly practices and latest collections from all brands""
    type: table
    inputs: [brand_websites]","['answerer', 'brave_search']",3,search_then_fetch,True,
"""Search for the top 10 electric vehicle manufacturers, then visit each manufacturer's website to fetch information about their latest models and specifications.""","assets:
  ev_manufacturer_search:
    agent: brave_search
    description: ""Search for the top 10 electric vehicle manufacturers""
    type: table

  ev_manufacturer_websites:
    type: for_each
    description: ""Fetch each manufacturer's website to read about their latest models and specifications""
    inputs: [ev_manufacturer_search]
    row_output: website_content
    row_chain:
      assets:
        website_content:
          agent: url
          description: ""Visit the URL from this search result row""
          type: text
          inputs: [__row__]

  final_ev_comparison:
    agent: answerer
    description: ""Compare all electric vehicle manufacturers based on their website content""
    type: table
    inputs: [ev_manufacturer_websites]","['answerer', 'brave_search']",3,search_then_fetch,True,
"""Compile a list of the top 10 electric vehicle manufacturers, then visit each company's website to gather their latest electric vehicle models and specifications.""","assets:
  ev_manufacturer_search:
    agent: brave_search
    description: ""Search for the top electric vehicle manufacturers""
    type: table

  ev_manufacturer_websites:
    type: for_each
    description: ""Fetch each manufacturer's website to read their latest electric vehicle models and specifications""
    inputs: [ev_manufacturer_search]
    row_output: website_content
    row_chain:
      assets:
        website_content:
          agent: url
          description: ""Visit the URL from this search result row""
          type: text
          inputs: [__row__]

  ev_models_comparison:
    agent: answerer
    description: ""Compile and compare the latest electric vehicle models and specifications from each manufacturer""
    type: table
    inputs: [ev_manufacturer_websites]","['answerer', 'brave_search']",3,search_then_fetch,True,
"""Identify the top 10 renewable energy companies, then for each company, check their website for the latest sustainability reports.""","assets:
  renewable_energy_companies_search:
    agent: brave_search
    description: ""Search for the top renewable energy companies""
    type: table

  company_websites:
    type: for_each
    description: ""Fetch each company's website to read their latest sustainability reports""
    inputs: [renewable_energy_companies_search]
    row_output: sustainability_report_content
    row_chain:
      assets:
        sustainability_report_content:
          agent: url
          description: ""Visit the URL from this search result row""
          type: text
          inputs: [__row__]

  final_sustainability_reports:
    agent: answerer
    description: ""Compile and synthesise all sustainability report content from the companies""
    type: table
    inputs: [company_websites]","['answerer', 'brave_search']",3,search_then_fetch,True,
"""Identify the top 10 renewable energy startups, then look up each company's website to gather information on their latest projects and funding rounds.""","assets:
  renewable_energy_startups_search:
    agent: brave_search
    description: ""Search for the top 10 renewable energy startups""
    type: table

  startup_websites:
    type: for_each
    description: ""Fetch each startup's website to gather information on their latest projects and funding rounds""
    inputs: [renewable_energy_startups_search]
    row_output: website_content
    row_chain:
      assets:
        website_content:
          agent: url
          description: ""Visit the URL from this search result row""
          type: text
          inputs: [__row__]

  aggregated_startup_info:
    agent: answerer
    description: ""Synthesize all fetched content about the startups""
    type: table
    inputs: [startup_websites]","['answerer', 'brave_search']",3,search_then_fetch,True,
"""Identify the top 10 restaurants in New York City, then visit each restaurant's website to gather their current menu and any special promotions.""","assets:
  restaurant_search:
    agent: brave_search
    description: ""Search for the top 10 restaurants in New York City""
    type: table

  restaurant_websites:
    type: for_each
    description: ""Visit each restaurant's website to gather their current menu and any special promotions""
    inputs: [restaurant_search]
    row_output: website_content
    row_chain:
      assets:
        website_content:
          agent: url
          description: ""Visit the URL from this search result row""
          type: text
          inputs: [__row__]

  final_summary:
    agent: answerer
    description: ""Synthesize all gathered content from restaurant websites""
    type: table
    inputs: [restaurant_websites]","['answerer', 'brave_search']",3,search_then_fetch,True,
