scenario,workflow_yaml,agents_used,num_agents,num_steps,complexity,is_valid,error_message
"""Retrieve the top trending recipes from DuckDuckGo, compile a summary table of the ingredients and instructions, and then create a visual infographic for a social media post.""","assets:
  trending_recipes_data:
    agent: DuckDuckGoSearchAgent
    description: ""Retrieve the top trending recipes from DuckDuckGo""
    type: table
    checks:
      - ""row_count > 0""
      - ""columns: [recipe_name, url, ingredients, instructions]""
      - ""no_empty_values: [recipe_name, ingredients]""

  recipe_summary_table:
    agent: UrlRetrieverAgent
    description: ""Compile a summary table of ingredients and instructions from trending recipes""
    type: table
    inputs: [trending_recipes_data]
    checks:
      - ""row_count >= trending_recipes_data.row_count""
      - ""columns: [recipe_name, ingredients, instructions]""
      - ""no_empty_values: [ingredients, instructions]""

  recipe_infographic:
    agent: VisualizationAgent
    description: ""Create a visual infographic for social media post""
    type: image
    inputs: [recipe_summary_table]
    checks:
      - ""file_size < 5MB""
      - ""dimensions: [1080, 1080]""
      - ""format: png""","['DuckDuckGoSearchAgent', 'UrlRetrieverAgent', 'VisualizationAgent']",3,3,simple_chain,True,
"""Gather user feedback from our website, analyze the text to extract common themes, and produce a summarized report that highlights key insights for team review.""","assets:
  user_feedback_text:
    agent: UserInputAgent
    description: ""Gather user feedback from our website""
    type: text
    checks:
      - ""no_empty_values: [feedback]""
      - ""max_length: 500""

  extracted_themes_table:
    agent: NumericalSequencesAgent
    description: ""Analyze feedback text to extract common themes""
    type: table
    inputs: [user_feedback_text]
    checks:
      - ""row_count > 0""
      - ""columns: [theme, frequency]""
      - ""no_empty_values: [theme]""

  summarized_report_table:
    agent: AnswererAgent
    description: ""Summarize key insights from extracted themes for team review""
    type: table
    inputs: [extracted_themes_table]
    checks:
      - ""row_count > 0""
      - ""columns: [insight, details]""
      - ""no_empty_values: [insight]""","['NumericalSequencesAgent', 'AnswererAgent', 'UserInputAgent']",3,3,simple_chain,True,
"""Retrieve the latest articles on renewable energy technologies, compile key insights into a structured table, and generate a visual infographic summarizing the trends and innovations.""","assets:
  renewable_energy_articles:
    agent: DuckDuckGoSearchAgent
    description: ""Retrieve the latest articles on renewable energy technologies""
    type: table
    checks:
      - ""row_count > 0""
      - ""columns: [title, url, snippet]""
      - ""no_empty_values: [title, url]""

  compiled_insights_table:
    agent: AnswererAgent
    description: ""Compile key insights into a structured table from articles""
    type: table
    inputs: [renewable_energy_articles]
    checks:
      - ""row_count >= renewable_energy_articles.row_count * 0.8""
      - ""columns: [insight, source, relevance_score]""
      - ""no_empty_values: [insight, source]""

  renewable_energy_trends_chart:
    agent: VisualizationAgent
    description: ""Generate a visual infographic summarizing trends and innovations""
    type: image
    inputs: [compiled_insights_table]
    checks:
      - ""file_size < 5MB""
      - ""dimensions: [1200, 800]""
      - ""format: png""","['DuckDuckGoSearchAgent', 'VisualizationAgent', 'AnswererAgent']",3,3,simple_chain,True,
"""Gather user feedback from our website, summarize the key points into a structured table, and create a visual report highlighting the main trends and sentiments.""","assets:
  user_feedback_data:
    agent: UserInputAgent
    description: ""Gather user feedback from the website""
    type: text
    checks:
      - ""no_empty_values: [feedback]""
      - ""length >= 10""

  summarized_feedback_table:
    agent: AnswererAgent
    description: ""Summarize key points from user feedback into a structured table""
    type: table
    inputs: [user_feedback_data]
    checks:
      - ""row_count > 0""
      - ""columns: [key_point, sentiment]""
      - ""no_empty_values: [key_point]""

  feedback_trends_chart:
    agent: VisualizationAgent
    description: ""Create visual report highlighting main trends and sentiments from feedback""
    type: image
    inputs: [summarized_feedback_table]
    checks:
      - ""file_size < 5MB""
      - ""dimensions: [1920, 1080]""
      - ""format: png""","['VisualizationAgent', 'AnswererAgent', 'UserInputAgent']",3,3,simple_chain,True,
"""Search for the latest news articles on climate change, extract relevant insights from the top five articles, and compile a concise report in a structured table format.""","assets:
  latest_climate_change_articles:
    agent: DuckDuckGoSearchAgent
    description: ""Extract latest news articles on climate change from DuckDuckGo""
    type: table
    checks:
      - ""row_count >= 5""
      - ""columns: [title, url, snippet]""
      - ""no_empty_values: [title, url]""

  relevant_insights_from_articles:
    agent: DocumentRetrieverAgent
    description: ""Extract relevant insights from the top five articles on climate change""
    type: text
    inputs: [latest_climate_change_articles]
    checks:
      - ""length > 0""
      - ""no_empty_values: [insight]""

  compiled_climate_change_report:
    agent: AnswererAgent
    description: ""Compile a concise report in a structured table format""
    type: table
    inputs: [latest_climate_change_articles, relevant_insights_from_articles]
    checks:
      - ""row_count > 0""
      - ""columns: [article_title, insight_summary]""
      - ""no_empty_values: [article_title, insight_summary]""","['DuckDuckGoSearchAgent', 'DocumentRetrieverAgent', 'AnswererAgent']",3,3,simple_chain,True,
"""Collect recent articles on renewable energy from DuckDuckGo and Brave, extract the key findings and citations, and then compile a summary table for our research team to review.""","assets:
  duckduckgo_articles:
    agent: DuckDuckGoSearchAgent
    description: ""Collect recent articles on renewable energy from DuckDuckGo""
    type: table
    checks:
      - ""row_count >= 5""
      - ""columns: [title, url, snippet]""
      - ""no_empty_values: [title, url]""

  brave_articles:
    agent: BraveSearchAgent
    description: ""Collect recent articles on renewable energy from Brave""
    type: table
    checks:
      - ""row_count >= 5""
      - ""columns: [title, url, snippet]""
      - ""no_empty_values: [title, url]""

  combined_article_findings:
    agent: UrlRetrieverAgent
    description: ""Combine findings from DuckDuckGo and Brave articles into a summary table""
    type: table
    inputs: [duckduckgo_articles, brave_articles]
    checks:
      - ""row_count >= 10""
      - ""columns: [title, url, summary]""
      - ""no_empty_values: [title, url, summary]""","['DuckDuckGoSearchAgent', 'UrlRetrieverAgent', 'BraveSearchAgent']",3,3,simple_chain,True,
"""Gather recent articles about climate change from DuckDuckGo and Brave search APIs, extract the main points, and create a structured summary table that highlights key insights.""","assets:
  climate_change_articles_duckduckgo:
    agent: DuckDuckGoSearchAgent
    description: ""Extract recent articles about climate change from DuckDuckGo""
    type: table
    checks:
      - ""row_count >= 5""
      - ""columns: [title, url, snippet]""
      - ""no_empty_values: [title, url]""

  climate_change_articles_brave:
    agent: BraveSearchAgent
    description: ""Extract recent articles about climate change from Brave search""
    type: table
    checks:
      - ""row_count >= 5""
      - ""columns: [title, url, snippet]""
      - ""no_empty_values: [title, url]""

  combined_climate_change_articles:
    agent: UrlRetrieverAgent
    description: ""Combine articles from DuckDuckGo and Brave into a structured summary""
    type: table
    inputs: [climate_change_articles_duckduckgo, climate_change_articles_brave]
    checks:
      - ""row_count >= 10""
      - ""columns: [title, url, snippet, source]""
      - ""no_empty_values: [title, url, source]""

  structured_climate_summary:
    agent: AnswererAgent
    description: ""Create a structured summary table highlighting key insights""
    type: table
    inputs: [combined_climate_change_articles]
    checks:
      - ""row_count >= 1""
      - ""columns: [insight, detail]""
      - ""no_empty_values: [insight, detail]""","['DuckDuckGoSearchAgent', 'UrlRetrieverAgent', 'AnswererAgent', 'BraveSearchAgent']",4,4,simple_chain,True,
"""Gather user feedback data from our customer service platform, analyze the sentiment in the responses, and generate a report with visual representations of the key insights.""","assets:
  user_feedback_data:
    agent: UserInputAgent
    description: ""Gather user feedback data from customer service platform""
    type: text
    checks:
      - ""no_empty_values: [feedback_text]""
      - ""feedback_text_length > 0""

  sentiment_analysis_model:
    agent: MleAgent
    description: ""Analyze sentiment from user feedback responses""
    type: model
    inputs: [user_feedback_data]
    checks:
      - ""accuracy > 0.80""
      - ""required_features: [feedback_text]""
      - ""model_type: sentiment_analysis""

  sentiment_insights_report:
    agent: AnswererAgent
    description: ""Generate comprehensive report on sentiment insights""
    type: table
    inputs: [user_feedback_data, sentiment_analysis_model]
    checks:
      - ""row_count > 0""
      - ""columns: [sentiment, feedback_count, feedback_percentage]""
      - ""no_null_values: [sentiment]""

  insights_visualization:
    agent: VisualizationAgent
    description: ""Create visual representation of sentiment insights""
    type: image
    inputs: [sentiment_insights_report]
    checks:
      - ""file_size < 5MB""
      - ""dimensions: [width: 800, height: 600]""","['MleAgent', 'VisualizationAgent', 'AnswererAgent', 'UserInputAgent']",4,4,simple_chain,True,
"""Retrieve the latest research articles on renewable energy from DuckDuckGo, extract key insights into solar technology advancements, and create a summarized report in table format for our team review.""","assets:
  renewable_energy_articles:
    agent: DuckDuckGoSearchAgent
    description: ""Retrieve the latest research articles on renewable energy""
    type: table
    checks:
      - ""row_count >= 5""
      - ""columns: [title, url, snippet]""
      - ""no_empty_values: [title, url]""

  solar_technology_insights:
    agent: DocumentRetrieverAgent
    description: ""Extract key insights into solar technology advancements""
    type: text
    inputs: [renewable_energy_articles]
    checks:
      - ""no_empty_values: [text_content]""
      - ""content_length > 100""

  summarized_report:
    agent: AnswererAgent
    description: ""Create a summarized report of insights on solar technology""
    type: table
    inputs: [solar_technology_insights]
    checks:
      - ""row_count > 0""
      - ""columns: [summary, key_points]""
      - ""no_empty_values: [summary, key_points]""","['DuckDuckGoSearchAgent', 'DocumentRetrieverAgent', 'AnswererAgent']",3,3,simple_chain,True,
"""Gather user feedback from a recent product launch, analyze the sentiment of the responses, and generate a report summarizing key insights along with visualizations to present the findings to the marketing team.""","assets:
  user_feedback_data:
    agent: UserInputAgent
    description: ""Gather user feedback from recent product launch""
    type: text
    checks:
      - ""no_empty_values: [feedback]""
      - ""feedback_length >= 10""

  sentiment_analysis_results:
    agent: MleAgent
    description: ""Analyze user feedback sentiment and extract patterns""
    type: model
    inputs: [user_feedback_data]
    checks:
      - ""accuracy > 0.75""
      - ""required_features: [feedback_text]""

  insights_report:
    agent: AnswererAgent
    description: ""Generate a report summarizing key insights from sentiment analysis""
    type: table
    inputs: [sentiment_analysis_results]
    checks:
      - ""row_count >= 1""
      - ""columns: [insight, sentiment_score, recommendation]""

  insights_visualization:
    agent: VisualizationAgent
    description: ""Create visual representation of insights for presentation""
    type: image
    inputs: [insights_report]
    checks:
      - ""file_size < 5MB""
      - ""dimensions: [1920, 1080]""","['MleAgent', 'VisualizationAgent', 'AnswererAgent', 'UserInputAgent']",4,4,simple_chain,True,
