FID,APA Tier Type,GLHER Primary Ref,GLHER Resource ID,area_type,Description,Shape__Area,Shape__Length
1,Archaeological Priority Area,76962,60d85e7b-9e89-43db-9af6-2ee585381d69, ,"The Saxon place name is apparently derived from ‘Bedda’s settlement’. The Domesday Book refers to two mills and a church, probably the original foundation of St. Mary’s. Two stone sarcophagi found in the churchyard of St. Mary’s reveal the pres",297447.832550049,3423.10775107476
2,Archaeological Priority Area - Tier III,76923,5db0d8b6-d62a-4d66-988f-5bd71dce859b, ,"Summary and Definition    8.3.1 The Archaeological Priority Area covers an area of undeveloped land in the north-west of the  borough comprising Bluebell Wood, Muswell Hill Golf Course and Albert Road Recreation  Ground. Bl",477519.602577209,4541.69718055543
3,Archaeological Priority Area,76331,1bef98cd-3d52-4f62-a666-eeafa635c8f8, ,"The medieval village and manor house, with possible Saxon origins.",130874.350379944,1909.61270389867
4,Archaeological Priority Area - Tier I,77135,72fe4667-b7b6-453f-ad89-35b289f48c20, ,"Summary and Definition  This Archaeological Priority Area includes the Anglo-Saxon international trading emporium of Lundenwic which grew along the Thames and Fleet rivers in the seventh to ninth century. It is bounded on its western, eastern and souther",348762.788848877,3511.99056277195
5,Archaeological Priority Area - Tier I,77696,afeba711-6b45-4001-ab27-4ca947ba0562, ,"Tower Hamlets APA 1.5: Atlas Wharf  Summary and Definition  	This Tier 1 APA covers the known and conjectured extent of the Bronze Age Atlas Wharf activity site, a significant discovery from the Isle of Dogs Tier 3 APA and one that is likely to be illust",34605.5780105591,793.723186710447
6,Archaeological Priority Area,77649,aa450179-7f48-469e-af60-5f60874da82a, ,(core area of Harrow on the Hill),354322.26335907,2967.00593796356
7,Archaeological Priority Area - Tier II,77428,915ec1fa-0b1b-4735-a208-578566d0e72c, ,Summary and Definition  This Archaeological Priority Area comprises an eighteenth century spa and leisure resort with its associated wells named Bagnigge Wells. These wells were well known for their healing properties and health benefits. It maintained i,12101.8167419434,526.887705685108
8,Archaeological Priority Area,77019,668bfe52-458f-4ae0-8407-3592669ee749, ,Potential prehistoric deposits may be buried beneath gravel deposits.,1576219.80210876,10074.3275728729
9,Archaeological Priority Area - Tier III,76564,360b9547-cc09-4c4a-8364-d2c991e67aff, ,Summary and Definition  This APA covers the part of Regents Park that lies within the Borough of Camden and includes the eastern entrance known as Cumberland Gate and part of the Broad Walk. The park is designated as a Grade I Historic Park and Garden an,302573.134269714,3246.21997420524
10,Archaeological Priority Area - Tier II,76588,37db57fe-c354-49b0-b6ed-a30e06e7947e, ,"City of Westminster APA 2.2: Green Park  Summary and Definition  	The Green Park Archaeological Priority Area covers the area between Hyde Park Corner to the west, Piccadilly to the north, Queen’s Walk to the east and Constitution Hill/The Mall to the",225838.180664063,2094.21302991901
11,Archaeological Priority Area - Tier II,209755,3ae9109c-262d-4c4a-a33e-1dab3495cbc7, ," p  strong Summary and Definition  /strong  /p 

 p The Marble Hill APA covers the extent of the current Grade II* Listed Historic Park and Garden. The area includes the below and above ground remains of the pleasure grounds and gardens, as well as the r",307839.375831604,2526.59795590122
12,Archaeological Priority Area - Tier II,76223,0f1601cf-d9b3-4801-86b5-62b60356dd4c, ,Summary and definition  The APA covers the proposed location of the medieval Kemnal Manor and the site of  the later post-medieval moated site of the same name. The APA has been included at  Tier 2 as it is likely to,68243.4703292847,1413.16952973737
13,Archaeological Priority Area - Tier II,76304,18df3541-2c2d-4cc5-87de-4adcd7927c63, ,"Summary and Definition  	The APA covers the historic settlement of Mitcham along the route of London Road from its junction with Bond Road in the north to Mitcham station in the south.  It includes the areas around the Upper Green, previously known as Up",1312281.56378937,5848.04700678784
14,Archaeological Priority Area - Tier I,76565,36119440-ccac-4a2f-8e7b-90a9162b406f, ,Tower Hamlets APA 1.3: St Mary Spital  Summary and Definition  	The APA covers the Scheduled Monument of St Mary Spital and adjacent areas not covered by the scheduling.  It is a Tier 1 APA because of its association with a Scheduled Monument and specifi,29082.199546814,755.147192825215
15,Archaeological Priority Area,78396,f8552ce8-900d-4cfd-98b7-7cc26b5ee1a2, ,"Recommendation  The area should be expanded north of the High Street between Bannockburn Road as far as Abbey Street and north to a projected line taken on Abbey Street., This archaeological area as prescribed takes in various areas north and south of th",191273.738189697,2821.74369537456
16,Archaeological Priority Area,78417,f9b98023-551b-44f2-860e-9adef5bec36d, ,"This APZ includes the APAs of Harefield North, West Drayton and parts of Uxbridge. The APA of West Drayton Station is immediately adjacent and Harefield South lies just to the east of the APZ extent.   There are a few Palaeolithic findspots scattered thr",12656131.038826,47742.679770398
